Date,Hour,Temperature
15/01/2022,10,23
15/01/2022,11,24.9
15/01/2022,12,26.1
15/01/2022,13,28.3
15/01/2022,14,31
15/01/2022,15,31.8
15/01/2022,16,24.1
15/01/2022,17,24.3
15/01/2022,18,22.1
15/01/2022,19,22.4
15/01/2022,20,23
15/01/2022,21,23.5
15/01/2022,22,22.8
15/01/2022,23,22.7
16/01/2022,0,22.9
16/01/2022,1,22.6
16/01/2022,2,22.4
16/01/2022,3,22
16/01/2022,4,21.7
16/01/2022,5,21.5
16/01/2022,6,21.4
16/01/2022,7,21.4
16/01/2022,8,21.3
16/01/2022,9,21.2
16/01/2022,10,22.7
16/01/2022,11,24.4
16/01/2022,12,26.7
16/01/2022,13,28.4
16/01/2022,14,30.9
16/01/2022,15,33
16/01/2022,16,34.3
16/01/2022,17,35.1
16/01/2022,18,35.1
16/01/2022,19,34.7
16/01/2022,20,25.1
16/01/2022,21,25.6
16/01/2022,22,25.3
16/01/2022,23,24.8
17/01/2022,0,22.4
17/01/2022,1,22.7
17/01/2022,2,22.1
17/01/2022,3,22.6
17/01/2022,4,22.6
17/01/2022,5,22.5
17/01/2022,6,22.4
17/01/2022,7,22.2
17/01/2022,8,22.5
17/01/2022,9,22.6
17/01/2022,10,23.9
17/01/2022,11,24.9
17/01/2022,12,26.4
17/01/2022,13,29
17/01/2022,14,31.4
17/01/2022,15,32.4
17/01/2022,16,33.4
17/01/2022,17,33.5
17/01/2022,18,30.8
17/01/2022,19,25.9
17/01/2022,20,27
17/01/2022,21,27.5
17/01/2022,22,26.9
17/01/2022,23,25.8
18/01/2022,0,22.7
18/01/2022,1,20.5
18/01/2022,2,20.6
18/01/2022,3,20.8
18/01/2022,4,20.4
18/01/2022,5,20.4
18/01/2022,6,20.5
18/01/2022,7,20.9
18/01/2022,8,21.1
18/01/2022,9,21.5
18/01/2022,10,21.9
18/01/2022,11,22.8
18/01/2022,12,24.8
18/01/2022,13,25.3
18/01/2022,14,24.6
18/01/2022,15,25
18/01/2022,16,24.3
18/01/2022,17,24.2
18/01/2022,18,24.4
18/01/2022,19,26.1
18/01/2022,20,26.2
18/01/2022,21,25
18/01/2022,22,25.5
18/01/2022,23,25.2
19/01/2022,0,24.3
19/01/2022,1,24.1
19/01/2022,2,23
19/01/2022,3,22.7
19/01/2022,4,22.3
19/01/2022,5,22.3
19/01/2022,6,21
19/01/2022,7,20.4
19/01/2022,8,20.1
19/01/2022,9,20.6
19/01/2022,10,21.2
19/01/2022,11,23.3
19/01/2022,12,24.7
19/01/2022,13,26.2
19/01/2022,14,28.7
19/01/2022,15,30.9
19/01/2022,16,32
19/01/2022,17,33.9
19/01/2022,18,34.9
19/01/2022,19,34.5
19/01/2022,20,33.9
19/01/2022,21,31.6
19/01/2022,22,30.3
19/01/2022,23,29.1
20/01/2022,0,28.3
20/01/2022,1,26.9
20/01/2022,2,25.7
20/01/2022,3,24.9
20/01/2022,4,24.4
20/01/2022,5,23.6
20/01/2022,6,23.1
20/01/2022,7,23.2
20/01/2022,8,23
20/01/2022,9,22.5
20/01/2022,10,22.9
20/01/2022,11,23.7
20/01/2022,12,25.8
20/01/2022,13,27.7
20/01/2022,14,30.6
20/01/2022,15,31.8
20/01/2022,16,33.7
20/01/2022,17,34.8
20/01/2022,18,33.4
20/01/2022,19,32.9
20/01/2022,20,32.7
20/01/2022,21,31.7
20/01/2022,22,29.6
20/01/2022,23,28
21/01/2022,0,27
21/01/2022,1,26.4
21/01/2022,2,26.1
21/01/2022,3,25.5
21/01/2022,4,24.8
21/01/2022,5,24.2
21/01/2022,6,24.1
21/01/2022,7,23.1
21/01/2022,8,22.4
21/01/2022,9,22.3
21/01/2022,10,23
21/01/2022,11,24.3
21/01/2022,12,26
21/01/2022,13,28.2
21/01/2022,14,30
21/01/2022,15,33
21/01/2022,16,34.6
